,Unnamed: 0.1,Unnamed: 0,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
163,163,163,A005930,2022-08-31,58200,59900,58200,59700,14203512,841319635900
164,164,164,A005930,2022-09-01,58700,58900,58300,58400,14905777,872374620601
165,165,165,A005930,2022-09-02,58300,58600,57500,57500,15040310,872040367551
166,166,166,A005930,2022-09-05,57400,57800,56800,57100,11425977,653884056584
167,167,167,A005930,2022-09-06,57200,57600,56900,57100,7503086,429152038700
168,168,168,A005930,2022-09-07,56700,56700,55900,56000,17384854,975695179700
169,169,169,A005930,2022-09-08,56200,56400,55600,55600,18000016,1006366398000
170,170,170,A005930,2022-09-13,57000,58500,56800,58100,17166581,991015891355
171,171,171,A005930,2022-09-14,56200,57200,56100,56800,12524961,709906007000
172,172,172,A005930,2022-09-15,57000,57100,56000,56000,11664819,657641711500
173,173,173,A005930,2022-09-16,55600,56400,55500,56200,13456503,752455682838
174,174,174,A005930,2022-09-19,56300,57000,56000,56400,12278653,693636680000
175,175,175,A005930,2022-09-20,56400,57000,55800,55800,14041465,788331519815
176,176,176,A005930,2022-09-21,55400,55500,55000,55300,11863700,655017421100
177,177,177,A005930,2022-09-22,54600,54700,54300,54400,12786510,696058101600
178,178,178,A005930,2022-09-23,54400,54900,54200,54500,10555964,575503622100
179,179,179,A005930,2022-09-26,53700,54200,53600,53900,15008449,807353273300
180,180,180,A005930,2022-09-27,53800,54200,53500,54200,16631289,897144417709
181,181,181,A005930,2022-09-28,53900,54400,52500,52900,19991129,1064665579214
182,182,182,A005930,2022-09-29,53300,53700,52600,52600,13882080,737730681500
183,183,183,A005930,2022-09-30,52300,53600,51800,53100,22503249,1187343660500
184,184,184,A005930,2022-10-04,55300,55400,54500,55200,19148435,1056852669700
185,185,185,A005930,2022-10-05,56900,57200,55400,56000,22458970,1261934048318
186,186,186,A005930,2022-10-06,56700,57300,56300,56300,14944446,848081763100
187,187,187,A005930,2022-10-07,55900,56900,55200,56200,16886813,949027146468
188,188,188,A005930,2022-10-11,54400,55700,54000,55400,21437877,1172168853325
189,189,189,A005930,2022-10-12,55700,57000,55200,55800,18408910,1032656163200
190,190,190,A005930,2022-10-13,55400,56100,55200,55200,13784602,765435187900
191,191,191,A005930,2022-10-14,56200,56500,55800,56300,12924326,726962989400
192,192,192,A005930,2022-10-17,55800,57000,55700,56600,13641878,769638197200
193,193,193,A005930,2022-10-18,56700,57100,55800,56500,14820702,835744764000
194,194,194,A005930,2022-10-19,56700,56900,55700,55800,12660652,710947532900
195,195,195,A005930,2022-10-20,55200,56000,55100,55500,17107653,949265250905
196,196,196,A005930,2022-10-21,55100,56300,55100,55900,11456060,640343092816
197,197,197,A005930,2022-10-24,57000,57500,56700,57500,16944503,968892104300
198,198,198,A005930,2022-10-25,57000,58600,57000,57700,17405678,1009512119302
199,199,199,A005930,2022-10-26,58000,59600,57700,59400,20824967,1227076491560
200,200,200,A005930,2022-10-27,59700,60100,58900,59500,21756712,1296030977930
201,201,201,A005930,2022-10-28,58900,59200,57200,57300,20924937,1213293156195
202,202,202,A005930,2022-10-31,58100,59900,58000,59400,18999514,1126467842000
203,203,203,A005930,2022-11-01,59900,60300,59500,60000,17201647,1030380927406
204,204,204,A005930,2022-11-02,59700,60000,59300,59600,13202919,787057605000
205,205,205,A005930,2022-11-03,58600,59800,58100,59200,17492162,1029199659366
206,206,206,A005930,2022-11-04,59100,59500,58400,59400,12445841,734525784600
207,207,207,A005930,2022-11-07,59700,60300,59400,60200,12437246,747350127100
208,208,208,A005930,2022-11-08,60500,61900,60500,61800,18273898,1123976801804
209,209,209,A005930,2022-11-09,62000,62200,61300,62000,14045592,869644724000
210,210,210,A005930,2022-11-10,61400,61500,60400,60400,21087633,1283005045328
211,211,211,A005930,2022-11-11,63100,63200,62300,62900,20037163,1257129641861
212,212,212,A005930,2022-11-14,62900,62900,61700,61900,15973416,993352234080
213,213,213,A005930,2022-11-15,62200,62500,61600,62400,12310986,764117239743
214,214,214,A005930,2022-11-16,62400,62700,61700,62700,12909260,804219667250
215,215,215,A005930,2022-11-17,62000,62000,61300,61400,13298296,819118806800
216,216,216,A005930,2022-11-18,61800,62400,61400,61800,12236503,757454905470
